AO DispatchRays,AtrousWaveletTransformFilter,CalculateAmbientOcclusion,CalculatePartialDerivatives,CompositionCS,Denoise,Disocclusions blur,Pathtracing,RTAO,Temporal Supersampling p1 (Reverse Reprojection),Temporal Supersampling p2 (BlendWithCurrentFrame),
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
  0.694   ,  0.371   ,  0.694   , 0.0451   ,  0.238   ,    1.2   ,  0.212   ,   1.94   ,    1.9   ,  0.191   ,    0.4   ,
